
> harmonygrid@0.1.0 dev
> vite --host 127.0.0.1 --port 5173 --strictPort


  VITE v8.2.2  ready in 690 ms

  ➜  Local:   http://127.0.0.1:5173/
12:07:28 AM [vite] (client) page reload src/performance/model.ts
12:07:28 AM [vite] (client) page reload src/document/model.ts
12:07:28 AM [vite] (client) page reload src/render/geometry.ts
12:09:24 AM [vite] (client) page reload src/render/draw.ts
12:09:24 AM [vite] (client) page reload src/render/renderer.worker.ts
12:10:22 AM [vite] (client) page reload src/app.ts
12:10:22 AM [vite] (client) page reload src/view.ts
12:10:22 AM [vite] (client) page reload src/capture-ui.ts
12:10:23 AM [vite] (client) page reload docs/build/index.html
12:10:23 AM [vite] (client) page reload docs/build/index.html
12:14:06 AM [vite] (client) page reload src/grid-settings/ui.ts
12:14:06 AM [vite] (client) page reload docs/build/index.html
12:15:18 AM [vite] (client) page reload src/input/keyboard.ts
12:15:18 AM [vite] (client) page reload src/grid-settings/ui.ts
12:15:19 AM [vite] (client) page reload docs/build/index.html
12:16:26 AM [vite] (client) page reload docs/build/index.html
12:29:07 AM [vite] (client) page reload docs/prototypes/performance-settings/index.html
12:32:03 AM [vite] (client) page reload src/performance/model.ts
12:32:03 AM [vite] (client) page reload src/document/model.ts
12:32:43 AM [vite] (client) page reload src/input/midi.ts
12:33:38 AM [vite] (client) page reload src/performance/engine.ts
12:33:38 AM [vite] (client) page reload src/capture-ui.ts
12:35:19 AM [vite] (client) page reload docs/prototypes/performance-settings/index.html
12:37:49 AM [vite] (client) page reload src/app.ts
12:37:49 AM [vite] (client) page reload src/view.ts
12:37:49 AM [vite] (client) page reload src/capture-ui.ts
12:37:49 AM [vite] (client) page reload src/input/midi.ts
12:43:14 AM [vite] (client) page reload src/input/midi.ts
12:43:15 AM [vite] (client) page reload docs/build/index.html
12:43:15 AM [vite] (client) page reload docs/build/index.html
12:44:22 AM [vite] (client) page reload docs/prototypes/finishing-controls/index.html
12:45:50 AM [vite] (client) page reload src/audio/instrument.worklet.ts
12:45:50 AM [vite] (client) page reload src/document/model.ts
12:45:50 AM [vite] (client) page reload src/view.ts
12:45:50 AM [vite] (client) page reload src/app.ts
12:45:52 AM [vite] (client) page reload docs/build/index.html
12:45:52 AM [vite] (client) page reload docs/build/index.html
12:46:51 AM [vite] (client) page reload src/performance/model.ts
12:46:51 AM [vite] (client) page reload src/performance/engine.ts
12:46:51 AM [vite] (client) page reload src/performance/capture.ts
12:46:51 AM [vite] (client) page reload src/capture-ui.ts
12:46:51 AM [vite] (client) page reload src/slots/ui.ts
12:46:51 AM [vite] (client) page reload src/app.ts
12:46:52 AM [vite] (client) page reload docs/build/index.html
12:48:26 AM [vite] (client) page reload src/document/ui.ts
12:48:26 AM [vite] (client) page reload src/view.ts
12:48:26 AM [vite] (client) page reload src/app.ts
12:48:26 AM [vite] (client) page reload docs/build/index.html
12:49:23 AM [vite] (client) page reload src/diagnostics/trace.ts
12:49:23 AM [vite] (client) page reload src/render/renderer.worker.ts
12:49:23 AM [vite] (client) page reload src/app.ts
12:50:46 AM [vite] (client) page reload src/audio/voices.ts
12:50:46 AM [vite] (client) page reload src/app.ts
